country,"2018","2019","2020","2021"
China,232530.595985266,240332.555458151,257973.429833565,293351.86635874
France,51409.8128385916,50118.9292119346,52747.0648580873,56646.9962157048
India,66257.801718275,71468.9005243041,72937.0640477993,76598.0311814266
Pakistan,11732.1317620538,10388.3181645683,10394.5025547242,11304.8298532453
Russia,61609.204756417,65201.3358483565,61712.5371689371,65907.7050471045
UK,55680.2282149866,56856.1330660076,60675.039625,68366.4405519257
USA,682491.4,734344.1,778397.2,800672.2
North Korea,1604.44444444444,NA,NA,NA
